title,director,actress,pub_time,type
肖申克的救赎,弗兰克·德拉邦特,蒂姆·罗宾斯,1994 , 犯罪 剧情
霸王别姬,陈凯歌,张国荣,1993 , 剧情 爱情 同性
阿甘正传,罗伯特·泽米吉斯,汤姆·汉克斯,1994 , 剧情 爱情
泰坦尼克号,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥,1997 , 剧情 爱情 灾难
这个杀手不太冷,吕克·贝松,让·雷诺,1994 , 剧情 动作 犯罪
千与千寻,宫崎骏,柊瑠美,2001 , 剧情 动画 奇幻
美丽人生,罗伯托·贝尼尼,罗伯托·贝尼尼,1997 , 剧情 喜剧 爱情 战争
辛德勒的名单,史蒂文·斯皮尔伯格,连姆·尼森,1993 , 剧情 历史 战争
星际穿越,克里斯托弗·诺兰,马修·麦康纳,2014 , 剧情 科幻 冒险
盗梦空间,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥,2010 , 剧情 科幻 悬疑 冒险
楚门的世界,彼得·威尔,金·凯瑞,1998 , 剧情 科幻
忠犬八公的故事,莱塞·霍尔斯道姆,理查·基尔,2009 , 剧情
海上钢琴师,朱塞佩·托纳多雷,蒂姆·罗斯,1998 , 剧情 音乐
三傻大闹宝莱坞,拉库马·希拉尼,阿米尔·汗,2009 , 剧情 喜剧 爱情 歌舞
放牛班的春天,克里斯托夫·巴拉蒂,让-巴蒂斯特·莫尼...,2004 , 剧情 音乐
机器人总动员,安德鲁·斯坦顿,本·贝尔特,2008 , 科幻 动画 冒险
无间道,刘伟强,刘德华,2002 , 剧情 犯罪 惊悚
疯狂动物城,拜伦·霍华德,瑞奇·摩尔,2016 , 喜剧 动画 冒险
控方证人,比利·怀尔德,泰隆·鲍华,1957 , 剧情 犯罪 悬疑
大话西游之大圣娶亲,刘镇伟,周星驰,1995 , 喜剧 爱情 奇幻 古装
熔炉,黄东赫,孔侑,2011 , 剧情
教父,弗朗西斯·福特·科波拉,主演:,1972 , 剧情 犯罪
触不可及,奥利维·那卡什,艾力克·托兰达,2011 , 剧情 喜剧
当幸福来敲门,加布里尔·穆奇诺,威尔·史密斯,2006 , 剧情 传记 家庭
怦然心动,罗伯·莱纳,玛德琳·卡罗尔,2010 , 剧情 喜剧 爱情
龙猫,宫崎骏,日高法子,1988 , 动画 奇幻 冒险
末代皇帝,贝纳尔多·贝托鲁奇,尊龙,1987 , 剧情 传记 历史
寻梦环游记,李·昂克里奇,阿德里安·莫利纳,2017 , 喜剧 动画 奇幻 音乐
活着,张艺谋,葛优,1994 , 剧情 历史 家庭
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,克里斯蒂安·贝尔,2008 , 剧情 动作 科幻 犯罪 惊悚
哈利·波特与魔法石,Chris,Radcliffe,2001 , 奇幻 冒险
指环王3：王者无敌,彼得·杰克逊,伊利亚·伍德,2003 , 剧情 动作 奇幻 冒险
乱世佳人,维克多·弗莱明,乔治·库克,1939 , 剧情 历史 爱情 战争
我不是药神,文牧野,徐峥,2018 , 剧情 喜剧
素媛,李濬益,薛景求,2013 , 剧情
飞屋环游记,彼特·道格特,鲍勃·彼德森,2009 , 剧情 喜剧 动画 冒险
哈尔的移动城堡,宫崎骏,倍赏千惠子,2004 , 动画 奇幻 冒险
十二怒汉,Sidney,Henry,1957 , 剧情
何以为家,娜丁·拉巴基,扎因·拉费阿,2018 , 剧情
摔跤吧！爸爸,涅提·蒂瓦里,阿米尔·汗,2016 , 剧情 传记 运动 家庭
让子弹飞,姜文,姜文,2010 , 剧情 喜剧 动作 西部
鬼子来了,姜文,姜文,2000 , 剧情 喜剧
猫鼠游戏,史蒂文·斯皮尔伯格,莱昂纳多·迪卡普里奥,2002 , 传记 犯罪 剧情
少年派的奇幻漂流,李安,苏拉·沙玛,2012 , 剧情 奇幻 冒险
天空之城,宫崎骏,田中真弓,1986 , 动画 奇幻 冒险
海蒂和爷爷,阿兰·葛斯彭纳,阿努克·斯特芬,2015 , 剧情 冒险 家庭
钢琴家,罗曼·波兰斯基,艾德里安·布洛迪,2002 , 剧情 传记 战争 音乐
大话西游之月光宝盒,刘镇伟,周星驰,1995 , 喜剧 爱情 奇幻 古装
指环王2：双塔奇兵,彼得·杰克逊,伊利亚·伍德,2002 , 剧情 动作 奇幻 冒险
闻香识女人,马丁·布莱斯,阿尔·帕西诺,1992 , 剧情
罗马假日,威廉·惠勒,奥黛丽·赫本,1953 , 喜剧 剧情 爱情
天堂电影院,朱塞佩·托纳多雷,菲利普·努瓦雷,1988 , 剧情 爱情
死亡诗社,彼得·威尔,罗宾·威廉姆斯,1989 , 剧情
绿皮书,彼得·法雷里,维果·莫腾森,2018 , 剧情 喜剧 传记 音乐
大闹天宫,万籁鸣,邱岳峰,1961(中国大陆) , 1978(中国大陆) 
指环王1：护戒使者,彼得·杰克逊,伊利亚·伍德,2001 , 剧情 动作 奇幻 冒险
黑客帝国,安迪·沃卓斯基,拉娜·沃卓斯基,1999 , 动作 科幻
教父2,弗朗西斯·福特·科波拉,主演:,1974 , 剧情 犯罪
狮子王,Roger,Rob,1994 , 动画 冒险 歌舞
辩护人,杨宇硕,宋康昊,2013 , 剧情
饮食男女,李安,郎雄,1994 , 剧情 家庭
搏击俱乐部,大卫·芬奇,爱德华·诺顿,1999 , 剧情 动作 悬疑 惊悚
美丽心灵,朗·霍华德,罗素·克劳,2001 , 传记 剧情
本杰明·巴顿奇事,大卫·芬奇,凯特·布兰切特,2008 , 剧情 爱情 奇幻
穿条纹睡衣的男孩,马克·赫尔曼,阿萨·巴特菲尔德,2008 , 剧情 战争
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,Donnersmarck,2006 , 剧情 悬疑
情书,岩井俊二,中山美穗,1995 , 剧情 爱情
两杆大烟枪,Guy,Flemyng,1998 , 剧情 喜剧 犯罪
西西里的美丽传说,朱塞佩·托纳多雷,莫妮卡·贝鲁奇,2000 , 剧情 战争 情色
音乐之声,罗伯特·怀斯,朱莉·安德鲁斯,1965 , 剧情 传记 爱情 歌舞
看不见的客人,奥里奥尔·保罗,马里奥·卡萨斯,2016 , 剧情 犯罪 悬疑 惊悚
阿凡达,詹姆斯·卡梅隆,萨姆·沃辛顿,2009 , 动作 科幻 冒险
拯救大兵瑞恩,史蒂文·斯皮尔伯格,汤姆·汉克斯,1998 , 剧情 战争
小鞋子,马基德·马基迪,默罕默德·阿米尔·纳吉,1997 , 剧情 儿童 家庭
飞越疯人院,米洛斯·福尔曼,杰克·尼科尔森,1975 , 剧情
哈利·波特与死亡圣器(下),大卫·叶茨,丹尼尔·雷德克里夫,2011 , 奇幻 冒险
沉默的羔羊,乔纳森·戴米,朱迪·福斯特,1991 , 剧情 犯罪 惊悚
布达佩斯大饭店,韦斯·安德森,拉尔夫·费因斯,2014 , 剧情 喜剧 冒险
禁闭岛,Martin,Leonardo,2010 , 剧情 悬疑 惊悚
蝴蝶效应,埃里克·布雷斯,J·麦基·格鲁伯,2004 , 剧情 悬疑 科幻 惊悚
致命魔术,克里斯托弗·诺兰,休·杰克曼,2006 , 剧情 悬疑 惊悚
功夫,周星驰,周星驰,2004 , 动作 喜剧 犯罪 奇幻
心灵捕手,格斯·范·桑特,主演:,1997 , 剧情
海豚湾,路易·西霍尤斯,路易·西霍尤斯,2009 , 纪录片
哈利·波特与阿兹卡班的囚徒,Alfonso,Daniel,2004 , 奇幻 冒险
低俗小说,昆汀·塔伦蒂诺,约翰·特拉沃尔塔,1994 , 剧情 喜剧 犯罪
春光乍泄,王家卫,主演:,1997 , 剧情 爱情 同性
美国往事,赛尔乔·莱翁内,罗伯特·德尼罗,1984 , 犯罪 剧情
超脱,托尼·凯耶,艾德里安·布洛迪,2011 , 剧情
摩登时代,查理·卓别林,查理·卓别林,1936 , 剧情 喜剧 爱情
喜剧之王,周星驰,李力持,1999 , 喜剧 剧情 爱情
致命ID,詹姆斯·曼高德,约翰·库萨克,2003 , 剧情 悬疑 惊悚
杀人回忆,奉俊昊,宋康昊,2003 , 剧情 动作 犯罪 悬疑 惊悚
七宗罪,大卫·芬奇,摩根·弗里曼,1995 , 剧情 犯罪 悬疑 惊悚
红辣椒,今敏,林原惠美,2006 , 动画 悬疑 科幻 惊悚
加勒比海盗,戈尔·维宾斯基,约翰尼·德普,2003 , 动作 冒险 奇幻
哈利·波特与密室,Chris,Daniel,2002 , 奇幻 冒险
狩猎,托马斯·温特伯格,麦斯·米科尔森,2012 , 剧情
一一,杨德昌,吴念真,2000 , 剧情 爱情 家庭
7号房的礼物,李焕庆,柳承龙,2013 , 剧情 喜剧 家庭
被嫌弃的松子的一生,中岛哲也,中谷美纪,2006 , 剧情 歌舞
唐伯虎点秋香,李力持,周星驰,1993 , 喜剧 爱情 古装
请以你的名字呼唤我,卢卡·瓜达尼诺,艾米·汉莫,2017 , 剧情 爱情 同性
断背山,李安,希斯·莱杰,2005 , 剧情 爱情 同性 家庭
剪刀手爱德华,蒂姆·波顿,约翰尼·德普,1990 , 剧情 奇幻 爱情
入殓师,泷田洋二郎,本木雅弘,2008 , 剧情
爱在黎明破晓前,理查德·林克莱特,伊桑·霍克,1995 , 剧情 爱情
勇敢的心,梅尔·吉布森,梅尔·吉布森,1995 , 动作 传记 剧情 历史 战争
第六感,M·奈特·沙马兰,主演:,1999 , 剧情 悬疑 惊悚
重庆森林,王家卫,主演:,1994 , 剧情 爱情
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,克里斯蒂安·贝尔,2012 , 剧情 动作 科幻 犯罪 惊悚
幽灵公主,宫崎骏,松田洋治,1997 , 动画 奇幻 冒险
超能陆战队,唐·霍尔,克里斯·威廉姆斯,2014 , 喜剧 动作 科幻 动画 冒险
爱在日落黄昏时,理查德·林克莱特,伊桑·霍克,2004 , 剧情 爱情
菊次郎的夏天,北野武,北野武,1999 , 剧情 喜剧
甜蜜蜜,陈可辛,黎明,1996 , 剧情 爱情
天使爱美丽,让-皮埃尔·热内,奥黛丽·塔图,2001 , 剧情 喜剧 爱情
阳光灿烂的日子,姜文,夏雨,1994 , 剧情 爱情
小森林 夏秋篇,森淳一,桥本爱,2014 , 剧情
借东西的小人阿莉埃蒂,米林宏昌,志田未来,2010 , 动画 奇幻 冒险
完美的世界,克林特·伊斯特伍德,凯文·科斯特纳,1993 , 剧情 犯罪
无人知晓,是枝裕和,柳乐优弥,2004 , 剧情
消失的爱人,大卫·芬奇,本·阿弗莱克,2014 , 剧情 犯罪 悬疑 惊悚
倩女幽魂,程小东,张国荣,1987 , 爱情 奇幻 武侠 古装
寄生虫,奉俊昊,宋康昊,2019 , 剧情
时空恋旅人,理查德·柯蒂斯,多姆纳尔·格里森,2013 , 喜剧 爱情 奇幻
侧耳倾听,近藤喜文,本名阳子,1995 , 剧情 爱情 动画
小森林 冬春篇,森淳一,桥本爱,2015 , 剧情
幸福终点站,史蒂文·斯皮尔伯格,汤姆·汉克斯,2004 , 喜剧 剧情 爱情
驯龙高手,迪恩·德布洛斯,克里斯·桑德斯,2010 , 动画 奇幻 冒险
教父3,弗朗西斯·福特·科波拉,主演:,1990 , 剧情 犯罪
一个叫欧维的男人决定去死,汉内斯·赫尔姆,罗夫·拉斯加德,2015 , 剧情
未麻的部屋,今敏,岩男润子,1997 , 动画 奇幻 惊悚
萤火之森,大森贵弘,佐仓绫音,2011 , 剧情 爱情 动画 奇幻
怪兽电力公司,彼特·道格特,大卫·斯沃曼,2001 , 儿童 喜剧 动画 奇幻 冒险
哈利·波特与火焰杯,迈克·内威尔,丹尼尔·雷德克里夫,2005 , 悬疑 奇幻 冒险
傲慢与偏见,乔·怀特,凯拉·奈特莉,2005 , 剧情 爱情
玩具总动员3,李·昂克里奇,汤姆·汉克斯,2010 , 喜剧 动画 奇幻 冒险
新世界,朴勋政,李政宰,2013 , 剧情 犯罪
釜山行,延尚昊,孔侑,2016 , 动作 惊悚 灾难
神偷奶爸,皮艾尔·柯芬,克里斯·雷纳德,2010 , 喜剧 动画 冒险
被解救的姜戈,昆汀·塔伦蒂诺,杰米·福克斯,2012 , 剧情 动作 西部 冒险
玛丽和马克思,亚当·艾略特,托妮·科莱特,2009 , 剧情 喜剧 动画
告白,中岛哲也,松隆子,2010 , 剧情 悬疑
大鱼,蒂姆·波顿,伊万·麦克格雷格,2003 , 剧情 家庭 奇幻 冒险
哪吒闹海,王树忱,严定宪,1979 , 冒险 动画 奇幻
射雕英雄传之东成西就,刘镇伟,梁朝伟,1993 , 喜剧 奇幻 武侠 古装
喜宴,李安,赵文瑄,1993 , 剧情 喜剧 爱情 同性 家庭
头号玩家,史蒂文·斯皮尔伯格,泰伊·谢里丹,2018 , 动作 科幻 冒险
模仿游戏,莫滕·泰杜姆,本尼迪克特·康伯巴奇,2014 , 剧情 传记 战争 同性
阳光姐妹淘,姜炯哲,沈恩京,2011 , 剧情 喜剧
我是山姆,杰茜·尼尔森,Sean,2001 , 剧情 家庭
茶馆,谢添,于是之,1982(中国大陆) , 剧情 历史
九品芝麻官,王晶,周星驰,1994 , 剧情 喜剧 古装
花样年华,王家卫,主演:,2000 , 剧情 爱情
恐怖直播,金秉祐,河正宇,2013 , 剧情 犯罪 悬疑
血战钢锯岭,梅尔·吉布森,安德鲁·加菲尔德,2016 , 剧情 传记 历史 战争
色，戒,李安,梁朝伟,2007 , 剧情 爱情 情色
七武士,黑泽明,三船敏郎,1954 , 动作 冒险 剧情
头脑特工队,彼特·道格特,罗纳尔多·德尔·卡门,2015 , 喜剧 动画 冒险
惊魂记,阿尔弗雷德·希区柯克,安东尼·博金斯,1960 , 悬疑 惊悚 恐怖
黑客帝国3：矩阵革命,拉娜·沃卓斯基,莉莉·沃卓斯基,2003 , 动作 科幻
你的名字。,新海诚,神木隆之介,2016 , 剧情 爱情 动画
电锯惊魂,詹姆斯·温,雷·沃纳尔,2004 , 悬疑 惊悚 恐怖
三块广告牌,马丁·麦克唐纳,弗兰西斯·麦克多蒙德,2017 , 剧情 犯罪
达拉斯买家俱乐部,让-马克·瓦雷,马修·麦康纳,2013 , 剧情 传记 同性
疯狂原始人,科克·德·米科,/,2013 , 喜剧 动画 冒险
心迷宫,忻钰坤,霍卫民,2014 , 剧情 犯罪 悬疑
谍影重重3,保罗·格林格拉斯,马特·达蒙,2007 , 动作 悬疑 惊悚
上帝之城,费尔南多·梅里尔斯,卡迪亚·兰德,2002 , 犯罪 剧情
英雄本色,吴宇森,周润发,1986 , 剧情 动作 犯罪
卢旺达饭店,特瑞·乔治,唐·钱德尔,2004 , 剧情 传记 历史 战争
纵横四海,吴宇森,周润发,1991 , 剧情 喜剧 动作 犯罪
风之谷,宫崎骏,岛本须美,1984 , 动画 奇幻 冒险
海街日记,是枝裕和,绫濑遥,2015 , 剧情 家庭
爱在午夜降临前,理查德·林克莱特,伊桑·霍克,2013 , 剧情 爱情
绿里奇迹,弗兰克·德拉邦特,汤姆·汉克斯,1999 , 犯罪 剧情 奇幻 悬疑
记忆碎片,克里斯托弗·诺兰,盖·皮尔斯,2000 , 犯罪 剧情 悬疑 惊悚
岁月神偷,罗启锐,吴君如,2010 , 剧情 家庭
忠犬八公物语,神山征二郎,仲代达矢,1987 , 剧情
疯狂的石头,宁浩,郭涛,2006 , 喜剧 犯罪
荒蛮故事,达米安·斯兹弗隆,达里奥·葛兰帝内提,2014 , 剧情 喜剧 犯罪
雨中曲,斯坦利·多南,吉恩·凯利,1952 , 喜剧 歌舞 爱情
小偷家族,是枝裕和,中川雅也,2018 , 剧情 犯罪 家庭
2001太空漫游,斯坦利·库布里克,凯尔·杜拉,1968 , 科幻 惊悚 冒险
小丑,托德·菲利普斯,杰昆·菲尼克斯,2019 , 剧情 犯罪 惊悚
爆裂鼓手,达米恩·查泽雷,迈尔斯·特勒,2014 , 剧情 音乐
背靠背，脸对脸,黄建新,杨亚洲,1994 , 剧情
无敌破坏王,瑞奇·莫尔,约翰·C·赖利,2012 , 喜剧 动画 奇幻 冒险
无间道2,刘伟强,陈冠希,2003 , 剧情 犯罪 惊悚
贫民窟的百万富翁,丹尼·鲍尔,洛芙琳·坦丹,2008 , 剧情 爱情
冰川时代,卡洛斯·沙尔丹哈,克里斯·韦奇,2002 , 喜剧 动画 冒险
心灵奇旅,彼特·道格特,凯普·鲍尔斯,2020 , 动画 奇幻 音乐
东邪西毒,王家卫,主演:,1994 , 剧情 动作 爱情 武侠 古装
恐怖游轮,克里斯托弗·史密斯,梅利莎·乔治,2009 , 剧情 悬疑 惊悚
牯岭街少年杀人事件,杨德昌,张震,1991 , 剧情 犯罪
魔女宅急便,宫崎骏,高山南,1989 , 动画 奇幻 冒险
遗愿清单,罗伯·莱纳,杰克·尼科尔森,2007 , 冒险 喜剧 剧情
你看起来好像很好吃,藤森雅也,山口胜平,2010 , 剧情 动画 儿童
真爱至上,理查德·柯蒂斯,休·格兰特,2003 , 喜剧 剧情 爱情
东京教父,今敏,江守彻,2003 , 剧情 喜剧 动画
大佛普拉斯,黄信尧,庄益增,2017 , 剧情 喜剧
黑天鹅,达伦·阿罗诺夫斯基,娜塔莉·波特曼,2010 , 剧情 惊悚
可可西里,陆川,多布杰,2004 , 剧情 犯罪
城市之光,Charles,Charles,1931 , 喜剧 剧情 爱情
源代码,邓肯·琼斯,杰克·吉伦哈尔,2011 , 科幻 悬疑 惊悚
雨人,巴瑞·莱文森,达斯汀·霍夫曼,1988 , 剧情
恋恋笔记本,尼克·卡索维茨,瑞恩·高斯林,2004 , 剧情 爱情
海边的曼彻斯特,肯尼斯·罗纳根,卡西·阿弗莱克,2016 , 剧情 家庭
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林,Sakolnakorn,2010 , 剧情 喜剧 爱情
人工智能,史蒂文·斯皮尔伯格,海利·乔·奥斯蒙,2001 , 剧情 科幻
波西米亚狂想曲,布莱恩·辛格,拉米·马雷克,2018 , 剧情 传记 同性 音乐
虎口脱险,杰拉尔·乌里,路易·德·菲耐斯,1966 , 喜剧 战争
青蛇,徐克,张曼玉,1993 , 剧情 爱情 奇幻 古装
终结者2：审判日,詹姆斯·卡梅隆,阿诺·施瓦辛格,1991 , 动作 科幻
罗生门,黑泽明,三船敏郎,1950 , 剧情 犯罪 悬疑
疯狂的麦克斯4：狂暴之路,乔治·米勒,汤姆·哈迪,2015 , 动作 科幻 冒险
萤火虫之墓,高畑勋,辰己努,1988 , 动画 剧情 战争
新龙门客栈,李惠民,张曼玉,1992 , 动作 爱情 武侠 古装
千钧一发,安德鲁·尼科尔,伊桑·霍克,1997 , 剧情 科幻 惊悚
崖上的波妞,宫崎骏,奈良柚莉爱,2008 , 动画 奇幻 冒险
无耻混蛋,昆汀·塔伦蒂诺,布拉德·皮特,2009 , 剧情 犯罪
末路狂花,雷德利·斯科特,吉娜·戴维斯,1991 , 犯罪 剧情 惊悚
奇迹男孩,斯蒂芬·卓博斯基,雅各布·特伦布莱,2017 , 剧情 儿童 家庭
彗星来的那一夜,詹姆斯·沃德·布柯特,主演:,2013 , 科幻 悬疑 惊悚
